org/jfree/chart/block/RectangleConstraint.java#89#class org.eclipse.jdt.core.dom.ConstructorInvocation
org/jfree/chart/block/RectangleConstraint.java#93#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/Range.java#85#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/Range.java#87#class org.eclipse.jdt.core.dom.ThrowStatement
org/jfree/chart/block/BorderArrangement.java#147#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#148#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#149#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#151#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#152#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#277#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#278#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#279#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#282#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#287#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#292#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#295#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#296#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#297#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#298#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#300#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#301#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#302#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#306#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#307#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#308#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#311#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#312#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#314#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/chart/block/BorderArrangement.java#315#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#318#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#319#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#320#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/chart/block/BorderArrangement.java#322#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/chart/block/BorderArrangement.java#323#class org.eclipse.jdt.core.dom.ReturnStatement
