org/jfree/data/time/Week.java#175#class org.eclipse.jdt.core.dom.ConstructorInvocation
org/jfree/data/time/Week.java#176#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Week.java#188#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Week.java#189#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Week.java#192#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Week.java#195#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Week.java#198#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/Week.java#199#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#204#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/Week.java#205#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Week.java#211#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#212#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/Week.java#215#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Week.java#219#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#221#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#222#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Week.java#248#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/RegularTimePeriod.java#161#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jfree/data/time/Week.java#127#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Week.java#128#class org.eclipse.jdt.core.dom.IfStatement
org/jfree/data/time/Week.java#132#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#133#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#134#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#135#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/RegularTimePeriod.java#70#unknown
org/jfree/data/time/Week.java#288#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#289#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#290#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jfree/data/time/Week.java#380#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/Week.java#381#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#382#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#383#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#384#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#385#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#386#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#387#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#388#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#390#class org.eclipse.jdt.core.dom.ReturnStatement
org/jfree/data/time/Week.java#405#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jfree/data/time/Week.java#406#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#407#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#408#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#409#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#410#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#411#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#412#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#413#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jfree/data/time/Week.java#415#class org.eclipse.jdt.core.dom.ReturnStatement
