org/jsoup/select/Selector.java#187#class org.eclipse.jdt.core.dom.ThrowStatement
org/jsoup/select/Selector.java#428#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/jsoup/select/Selector.java#429#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#149#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#148#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#184#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#182#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#180#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#146#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#178#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#234#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#524#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#521#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Element.java#522#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Evaluator.java#102#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Evaluator.java#103#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/nodes/Evaluator.java#104#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Evaluator.java#108#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#338#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#341#class org.eclipse.jdt.core.dom.LabeledStatement
org/jsoup/select/Selector.java#342#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#343#class org.eclipse.jdt.core.dom.LabeledStatement
org/jsoup/select/Selector.java#344#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#145#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#128#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#176#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#335#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#336#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/select/Selector.java#337#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/Tag.java#211#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/Tag.java#213#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#174#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#172#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#126#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#144#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#165#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#228#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#229#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#230#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#231#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#233#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#170#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#168#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#166#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#154#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Selector.java#142#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Selector.java#138#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/select/Selector.java#139#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/Selector.java#153#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#277#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#278#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#279#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#283#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#284#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#285#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#286#class org.eclipse.jdt.core.dom.DoStatement
