org/joda/time/Partial.java#219#class org.eclipse.jdt.core.dom.ThrowStatement
org/joda/time/field/UnsupportedDurationField.java#228#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/field/UnsupportedDurationField.java#32#unknown
org/joda/time/field/UnsupportedDurationField.java#227#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/DurationFieldType.java#286#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/chrono/GJEraDateTimeField.java#136#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/chrono/GJEraDateTimeField.java#140#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/DateTimeFieldType.java#484#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#176#class org.eclipse.jdt.core.dom.MethodDeclaration
org/joda/time/Partial.java#175#class org.eclipse.jdt.core.dom.ConstructorInvocation
org/joda/time/field/BaseDurationField.java#153#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#217#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#221#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#218#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#251#class org.eclipse.jdt.core.dom.MethodDeclaration
org/joda/time/Partial.java#250#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#249#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#248#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#245#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#216#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#212#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#213#class org.eclipse.jdt.core.dom.ForStatement
org/joda/time/Partial.java#214#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#215#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/joda/time/Partial.java#208#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#207#class org.eclipse.jdt.core.dom.ForStatement
org/joda/time/Partial.java#202#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#199#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#335#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#196#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#191#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#192#class org.eclipse.jdt.core.dom.ExpressionStatement
org/joda/time/Partial.java#193#class org.eclipse.jdt.core.dom.IfStatement
org/joda/time/Partial.java#190#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/joda/time/Partial.java#323#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/Partial.java#311#class org.eclipse.jdt.core.dom.ReturnStatement
org/joda/time/DurationFieldType.java#292#class org.eclipse.jdt.core.dom.ReturnStatement
