org/jsoup/nodes/LeafNode.java#94#class org.eclipse.jdt.core.dom.ThrowStatement
org/jsoup/parser/HtmlTreeBuilder.java#487#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilderState.java#395#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/HtmlTreeBuilderState.java#396#class org.eclipse.jdt.core.dom.ForStatement
org/jsoup/parser/HtmlTreeBuilderState.java#397#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/HtmlTreeBuilderState.java#398#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#402#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#403#class org.eclipse.jdt.core.dom.BreakStatement
org/jsoup/parser/HtmlTreeBuilderState.java#405#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#408#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilderState.java#409#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#716#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#720#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilderState.java#721#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#723#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilderState.java#394#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/Parser.java#167#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Node.java#209#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#588#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#587#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Node.java#277#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Node.java#278#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Node.java#276#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/Parser.java#163#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#164#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#165#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#166#class org.eclipse.jdt.core.dom.ForStatement
org/jsoup/parser/Parser.java#162#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/Parser.java#169#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/Parser.java#170#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/Parser.java#172#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/CharacterReader.java#472#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilderState.java#664#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilderState.java#661#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilderState.java#662#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#656#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/CharacterReader.java#476#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Document.java#41#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Document.java#43#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Document.java#44#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Document.java#45#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Document.java#46#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Document.java#48#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#582#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Element.java#486#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Element.java#487#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Element.java#488#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#581#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/CharacterReader.java#457#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/CharacterReader.java#456#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/HtmlTreeBuilder.java#94#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/Parser.java#122#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Parser.java#121#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Document.java#573#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/nodes/Document.java#574#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#102#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#104#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#106#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#109#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#111#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/HtmlTreeBuilder.java#112#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#113#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#114#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#118#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/HtmlTreeBuilder.java#119#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#120#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/HtmlTreeBuilder.java#121#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#125#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/HtmlTreeBuilder.java#130#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#419#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/HtmlTreeBuilder.java#420#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/nodes/Element.java#238#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#93#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/nodes/Element.java#237#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#97#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/HtmlTreeBuilder.java#98#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#100#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#86#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/HtmlTreeBuilder.java#87#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#88#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/HtmlTreeBuilder.java#128#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/HtmlTreeBuilder.java#129#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilder.java#89#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/HtmlTreeBuilder.java#90#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/HtmlTreeBuilder.java#92#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/HtmlTreeBuilderState.java#715#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/nodes/Element.java#231#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/nodes/Element.java#235#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Element.java#236#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/nodes/Element.java#229#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Element.java#230#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/nodes/Element.java#240#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/nodes/Node.java#420#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/QueryParser.java#76#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilderState.java#1486#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/QueryParser.java#232#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/QueryParser.java#235#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/TokenQueue.java#363#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/TokenQueue.java#364#class org.eclipse.jdt.core.dom.ExpressionStatement
org/jsoup/parser/TokenQueue.java#366#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/QueryParser.java#225#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/QueryParser.java#228#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/QueryParser.java#154#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/QueryParser.java#223#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/QueryParser.java#237#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokenQueue.java#362#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/nodes/Element.java#363#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#90#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/Selector.java#91#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Selector.java#102#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/Selector.java#103#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/Selector.java#104#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/QueryParser.java#153#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/QueryParser.java#151#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#123#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/HtmlTreeBuilder.java#495#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/Tag.java#77#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/QueryParser.java#75#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/QueryParser.java#29#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/QueryParser.java#149#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/QueryParser.java#23#class org.eclipse.jdt.core.dom.FieldDeclaration
org/jsoup/select/QueryParser.java#30#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/select/QueryParser.java#31#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/select/QueryParser.java#208#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/QueryParser.java#32#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/QueryParser.java#41#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/select/QueryParser.java#42#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/QueryParser.java#53#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/select/QueryParser.java#55#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/QueryParser.java#59#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/TokenQueue.java#89#class org.eclipse.jdt.core.dom.EnhancedForStatement
org/jsoup/parser/TokenQueue.java#90#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/parser/TokenQueue.java#93#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/QueryParser.java#62#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/TokenQueue.java#132#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#324#class org.eclipse.jdt.core.dom.VariableDeclarationStatement
org/jsoup/parser/TokenQueue.java#325#class org.eclipse.jdt.core.dom.WhileStatement
org/jsoup/parser/TokenQueue.java#329#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#140#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#70#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#119#class org.eclipse.jdt.core.dom.IfStatement
org/jsoup/select/Evaluator.java#45#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/select/Evaluator.java#46#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/select/Evaluator.java#50#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/select/Evaluator.java#44#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokenQueue.java#35#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#31#class org.eclipse.jdt.core.dom.ReturnStatement
org/jsoup/parser/TokenQueue.java#22#class org.eclipse.jdt.core.dom.MethodInvocation
org/jsoup/parser/TokenQueue.java#23#class org.eclipse.jdt.core.dom.Assignment
org/jsoup/parser/TokenQueue.java#24#class org.eclipse.jdt.core.dom.MethodDeclaration
org/jsoup/parser/TokenQueue.java#21#class org.eclipse.jdt.core.dom.MethodDeclaration
