org/apache/commons/math3/genetics/ElitisticListPopulation.java#36#class org.eclipse.jdt.core.dom.FieldDeclaration
org/apache/commons/math3/genetics/ListPopulation.java#51#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/math3/genetics/ListPopulation.java#55#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/math3/genetics/ListPopulation.java#59#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/math3/genetics/ListPopulation.java#60#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/math3/genetics/ListPopulation.java#61#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/math3/genetics/ElitisticListPopulation.java#50#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/apache/commons/math3/genetics/ListPopulation.java#50#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/math3/genetics/ElitisticListPopulation.java#51#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/math3/genetics/ElitisticListPopulation.java#52#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/math3/genetics/ListPopulation.java#75#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/math3/genetics/ListPopulation.java#69#class org.eclipse.jdt.core.dom.MethodDeclaration
org/apache/commons/math3/genetics/ListPopulation.java#70#class org.eclipse.jdt.core.dom.IfStatement
org/apache/commons/math3/genetics/ListPopulation.java#73#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/math3/genetics/ListPopulation.java#74#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/math3/genetics/ElitisticListPopulation.java#64#class org.eclipse.jdt.core.dom.SuperConstructorInvocation
org/apache/commons/math3/genetics/ElitisticListPopulation.java#65#class org.eclipse.jdt.core.dom.Assignment
org/apache/commons/math3/genetics/ElitisticListPopulation.java#66#class org.eclipse.jdt.core.dom.MethodDeclaration
