
Project:  Math
AssertStatement:  1
Block:  0
BreakStatement:  39
ConstructorInvocation:  225
ContinueStatement:  36
DoStatement:  12
EmptyStatement:  0
EnhancedForStatement:  58
ExpressionStatement:  91
ForStatement:  827
IfStatement:  1908
LabeledStatement:  0
ReturnStatement:  1401
SuperConstructorInvocation:  0
SwitchCase:  0
SwitchStatement:  22
SynchronizedStatement:  7
ThrowStatement:  14
TryStatement:  43
TypeDeclarationStatement:  0
VariableDeclarationStatement:  3196
WhileStatement:  70
ImportDeclaration:  0
MethodInvocation:  1461
Assignment:  5076

项目：     Math     编号截至：98
